config_name,edge_pct,edge_samples,edge_f1,edge_tp,edge_fp,edge_fn,edge_tn,final_f1,final_precision,final_recall,final_accuracy,final_tp,final_fp,final_fn,final_tn,escalation_count,escalation_pct,model_size_mb,inference_ms,pi_power_w,timestamp
Config_1_Lightweight,0.05,42098,0.5308310991957105,2277,4025,0,229858,0.9871711241574255,0.9776055124892334,0.9969257795344751,0.9997501693766938,2270,52,7,233831,9718,4.115006775067751,2.1571102142333984,115.18971125284831,2.1173468214670814,2025-11-01T12:55:17.815987
Config_1_Lightweight,0.1,84197,0.623732529460126,2276,2745,1,231138,0.9871711241574255,0.9776055124892334,0.9969257795344751,0.9997501693766938,2270,52,7,233831,7564,3.2029132791327917,2.6475830078125,115.1438554128011,2.1177914384206136,2025-11-01T12:55:20.037125
Config_1_Lightweight,0.15,126296,0.5795367778060575,2277,3304,0,230579,0.9871711241574255,0.9776055124892334,0.9969257795344751,0.9997501693766938,2270,52,7,233831,8500,3.5992547425474255,2.593109130859375,110.00466346740723,2.1125977725982668,2025-11-01T12:55:23.143699
Config_1_Lightweight,0.2,168395,0.6117678667383127,2277,2890,0,230993,0.9871711241574255,0.9776055124892334,0.9969257795344751,0.9997501693766938,2270,52,7,233831,8137,3.4455453929539295,2.7669410705566406,113.72621854146321,2.1164931596120202,2025-11-01T12:55:27.395942
Config_1_Lightweight,0.25,210494,0.609883487344315,2277,2913,0,230970,0.9871711241574255,0.9776055124892334,0.9969257795344751,0.9997501693766938,2270,52,7,233831,7851,3.324441056910569,2.985769271850586,112.07350095113118,2.115059270222982,2025-11-01T12:55:32.909997
Config_2_Balanced,0.05,42098,0.7506180979067084,2277,1513,0,232370,0.9827064418504107,0.9676458067262665,0.9982433025911287,0.9996612466124661,2273,76,4,233807,5267,2.230267615176152,5.903429985046387,198.17638397216797,2.204079813957214,2025-11-01T13:47:44.240455
Config_2_Balanced,0.1,84197,0.7969187675070029,2276,1159,1,232724,0.9827064418504107,0.9676458067262665,0.9982433025911287,0.9996612466124661,2273,76,4,233807,4511,1.9101456639566397,7.052422523498535,198.55229059855142,2.20560471312205,2025-11-01T13:47:48.292314
Config_2_Balanced,0.15,126296,0.8353826390163333,2276,896,1,232987,0.9827064418504107,0.9676458067262665,0.9982433025911287,0.9996612466124661,2273,76,4,233807,3999,1.6933434959349594,7.695326805114746,199.70289866129556,2.20739822546641,2025-11-01T13:47:54.370425
Config_2_Balanced,0.2,168395,0.8338523539109727,2276,906,1,232977,0.9827064418504107,0.9676458067262665,0.9982433025911287,0.9996612466124661,2273,76,4,233807,4010,1.6980013550135502,8.239167213439941,212.5826676686605,2.2208218348821007,2025-11-01T13:48:02.884106
Config_2_Balanced,0.25,210494,0.8516925378717037,2277,793,0,233090,0.9824940566241626,0.9672340425531915,0.9982433025911287,0.9996570121951219,2273,77,4,233806,3871,1.6391429539295392,8.637879371643066,216.95240338643393,2.2255902827580774,2025-11-01T13:48:13.917920
Config_3_FastEdge,0.05,42098,0.518915223336372,2277,4222,0,229661,0.9867420126059552,0.9767641996557659,0.9969257795344751,0.9997417005420054,2270,54,7,233829,9718,4.115006775067751,4.195734024047852,133.19818178812662,2.1373939158121744,2025-11-01T13:51:09.799731
Config_3_FastEdge,0.1,84197,0.510652612693429,2277,4364,0,229519,0.9867420126059552,0.9767641996557659,0.9969257795344751,0.9997417005420054,2270,54,7,233829,9761,4.133214769647696,4.714992523193359,131.84118270874023,2.1365561752319335,2025-11-01T13:51:11.035526
Config_3_FastEdge,0.15,126296,0.540919349091341,2277,3865,0,230018,0.9867420126059552,0.9767641996557659,0.9969257795344751,0.9997417005420054,2270,54,7,233829,9500,4.02269647696477,4.782597541809082,140.12503623962402,2.144907633781433,2025-11-01T13:51:12.677594
Config_3_FastEdge,0.2,168395,0.539126317035634,2277,3893,0,229990,0.9867420126059552,0.9767641996557659,0.9969257795344751,0.9997417005420054,2270,54,7,233829,9227,3.907096883468834,4.995305061340332,138.19193840026855,2.143187243461609,2025-11-01T13:51:15.038791
Config_3_FastEdge,0.25,210494,0.5337552742616034,2277,3978,0,229905,0.9867420126059552,0.9767641996557659,0.9969257795344751,0.9997417005420054,2270,54,7,233829,9098,3.852472899728997,5.356175422668457,130.9350331624349,2.1362912085851034,2025-11-01T13:51:18.088386
Config_4_Conservative,0.05,42098,0.2109309865678555,2277,17036,0,216847,0.9871711241574255,0.9776055124892334,0.9969257795344751,0.9997501693766938,2270,52,7,233831,28132,11.912262872628727,0.8786640167236328,109.6038818359375,2.110482545852661,2025-11-01T13:53:15.875600
Config_4_Conservative,0.1,84197,0.22405985430202796,2276,15763,1,218120,0.9871711241574255,0.9776055124892334,0.9969257795344751,0.9997501693766938,2270,52,7,233831,26104,11.053523035230352,1.0104084014892578,105.73490460713704,2.1067453130086267,2025-11-01T13:53:17.822469
Config_4_Conservative,0.15,126296,0.22781390695347672,2277,15436,0,218447,0.9871711241574255,0.9776055124892334,0.9969257795344751,0.9997501693766938,2270,52,7,233831,25810,10.929031165311653,1.0577163696289062,105.29883702596028,2.1063565533955892,2025-11-01T13:53:20.557982
Config_4_Conservative,0.2,168395,0.24302257324296922,2277,14185,0,219698,0.9871711241574255,0.9776055124892334,0.9969257795344751,0.9997501693766938,2270,52,7,233831,25127,10.639820460704607,1.0774145126342773,108.2746187845866,2.109352033297221,2025-11-01T13:53:24.387015
Config_4_Conservative,0.25,210494,0.23065235008103727,2277,15190,0,218693,0.9871711241574255,0.9776055124892334,0.9969257795344751,0.9997501693766938,2270,52,7,233831,25771,10.912516937669377,1.0858068466186523,105.44252395629883,2.1065283308029175,2025-11-01T13:53:29.296886
Config_5_OptimalBalance,0.05,42098,0.5379799173065564,2277,3911,0,229972,0.9824940566241626,0.9672340425531915,0.9982433025911287,0.9996570121951219,2273,77,4,233806,9624,4.07520325203252,3.283567428588867,147.28736877441406,2.1505709362030028,2025-11-01T14:45:11.504543
Config_5_OptimalBalance,0.1,84197,0.6032335011926848,2276,2993,1,230890,0.9824940566241626,0.9672340425531915,0.9982433025911287,0.9996570121951219,2273,77,4,233806,7902,3.346036585365854,3.898416519165039,155.1980972290039,2.159096513748169,2025-11-01T14:45:14.558742
Config_5_OptimalBalance,0.15,126296,0.5791682563906906,2277,3309,0,230574,0.9824940566241626,0.9672340425531915,0.9982433025911287,0.9996570121951219,2273,77,4,233806,8596,3.639905149051491,3.9394540786743164,156.74877166748047,2.1606882257461546,2025-11-01T14:45:19.002316
Config_5_OptimalBalance,0.2,168395,0.6099651754620948,2277,2912,0,230971,0.9824940566241626,0.9672340425531915,0.9982433025911287,0.9996570121951219,2273,77,4,233806,8365,3.5420901084010836,4.118024826049805,153.21826934814453,2.1573362941741943,2025-11-01T14:45:25.074803
Config_5_OptimalBalance,0.25,210494,0.5941291585127202,2277,3111,0,230772,0.9824940566241626,0.9672340425531915,0.9982433025911287,0.9996570121951219,2273,77,4,233806,8156,3.453590785907859,4.389504432678223,150.52048365275064,2.1549099880854286,2025-11-01T14:45:33.132778
Config_6_HighAccuracy,0.05,42098,0.7831470335339639,2277,1261,0,232622,0.9867420126059552,0.9767641996557659,0.9969257795344751,0.9997417005420054,2270,54,7,233829,4777,2.022781165311653,6.271989822387695,191.7872428894043,2.198059232711792,2025-11-01T14:48:30.671018
Config_6_HighAccuracy,0.1,84197,0.8173819357155683,2276,1016,1,232867,0.9867420126059552,0.9767641996557659,0.9969257795344751,0.9997417005420054,2270,54,7,233829,4288,1.8157181571815717,7.2752180099487305,214.88618850708008,2.2221614065170288,2025-11-01T14:48:34.882010
Config_6_HighAccuracy,0.15,126296,0.8446836147708294,2276,836,1,233047,0.9867420126059552,0.9767641996557659,0.9969257795344751,0.9997417005420054,2270,54,7,233829,3908,1.654810298102981,8.144698143005371,194.32862599690756,2.202473324139913,2025-11-01T14:48:40.953822
Config_6_HighAccuracy,0.2,168395,0.8575734740015072,2276,755,1,233128,0.9867420126059552,0.9767641996557659,0.9969257795344751,0.9997417005420054,2270,54,7,233829,3823,1.6188177506775068,8.417695045471191,197.84228006998697,2.206259975115458,2025-11-01T14:48:49.346233
Config_6_HighAccuracy,0.25,210494,0.8571966842501884,2275,756,2,233127,0.9867420126059552,0.9767641996557659,0.9969257795344751,0.9997417005420054,2270,54,7,233829,3728,1.5785907859078592,9.053376197814941,210.30449867248535,2.2193578748703002,2025-11-01T14:49:00.279841
